"rnaseq_profile_id","sampling_region","sources"
502832340,"Mouse VISp - L5","VIS"
502832350,"Mouse VISp - L5","VIS"
502832377,"Mouse VISp - L5","VIS"
502832386,"Mouse VISp - L5","VIS"
502832393,"Mouse VISp - L5","VIS"
502832399,"Mouse VISp - L5","VIS"
502832407,"Mouse VISp - L5","VIS"
502832409,"Mouse VISp - L5","VIS"
502832415,"Mouse VISp - L5","VIS"
502832420,"Mouse VISp - L5","VIS"
502832427,"Mouse VISp - L5","VIS"
502832438,"Mouse VISp - L5","VIS"
502832440,"Mouse VISp - L5","VIS"
502832447,"Mouse VISp - L5","VIS"
502832450,"Mouse VISp - L4","VIS"
502832452,"Mouse VISp - L4","VIS"
502832456,"Mouse VISp - L4","VIS"
502832459,"Mouse VISp - L4","VIS"
502832461,"Mouse VISp - L4","VIS"
502832463,"Mouse VISp - L4","VIS"
502832466,"Mouse VISp - L4","VIS"
502832472,"Mouse VISp - L4","VIS"
502832475,"Mouse VISp - L4","VIS"
502832478,"Mouse VISp - L4","VIS"
502832480,"Mouse VISp - L4","VIS"
502832482,"Mouse VISp - L4","VIS"
502832484,"Mouse VISp - L4","VIS"
502832486,"Mouse VISp - L4","VIS"
502832488,"Mouse VISp - L4","VIS"
502832492,"Mouse VISp - L2/3","VIS"
502832495,"Mouse VISp - L2/3","VIS"
502832497,"Mouse VISp - L2/3","VIS"
502832499,"Mouse VISp - L2/3","VIS"
502832501,"Mouse VISp - L2/3","VIS"
502832503,"Mouse VISp - L2/3","VIS"
502832505,"Mouse VISp - L2/3","VIS"
502832507,"Mouse VISp - L2/3","VIS"
502832509,"Mouse VISp - L2/3","VIS"
502832511,"Mouse VISp - L2/3","VIS"
502832513,"Mouse VISp - L2/3","VIS"
502832515,"Mouse VISp - L2/3","VIS"
502832517,"Mouse VISp - L2/3","VIS"
502832519,"Mouse VISp - L2/3","VIS"
502832521,"Mouse VISp - L2/3","VIS"
502832523,"Mouse VISp - L2/3","VIS"
502832525,"Mouse VISp - L1","VIS"
502832527,"Mouse VISp - L1","VIS"
502832529,"Mouse VISp - L1","VIS"
502832531,"Mouse VISp - L1","VIS"
502832533,"Mouse VISp - L6","VIS"
502832535,"Mouse VISp - L6","VIS"
502832537,"Mouse VISp - L6","VIS"
502832539,"Mouse VISp - L6","VIS"
502832557,"Mouse VISp - L4","VIS"
502832559,"Mouse VISp - L4","VIS"
502832561,"Mouse VISp - L5","VIS"
502832564,"Mouse VISp - L5","VIS"
502832566,"Mouse VISp - L5","VIS"
502832568,"Mouse VISp - L5","VIS"
502832570,"Mouse VISp - L5","VIS"
502832572,"Mouse VISp - L5","VIS"
502832574,"Mouse VISp - L4","VIS"
502832576,"Mouse VISp - L4","VIS"
502832579,"Mouse VISp - L4","VIS"
502832582,"Mouse VISp - L4","VIS"
502832584,"Mouse VISp - L4","VIS"
502832586,"Mouse VISp - L4","VIS"
502832588,"Mouse VISp - L4","VIS"
502832590,"Mouse VISp - L4","VIS"
