"y1","y2","rnaseq_profile_id","sampling_region","sources","kmean_1","kmean_2","kmean_3","kmean_4","kmean_5","kmean_6","kmean_7","kmean_8","kmean_9","kmean_10","kmean_11","kmean_12","kmean_13","kmean_14","kmean_15","kmean_16","kmean_17","kmean_18","kmean_19","kmean_20","louvain_k30"
-14.1423372167156,-4.07245029303443,487202129,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,16,14,8,19
-0.838435076223274,-31.5691920445089,487202131,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
0.130688117517593,-31.6487719613682,487202133,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-14.1829661740829,-8.81525101012491,487202135,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,15,16,8,19
-10.675003682489,-10.7618204370926,487202137,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,8,6,7,9,11,4,14,8,14,3,15,16,5,1
-0.228526035135001,-31.2202192785813,487202139,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-1.01361227468938,-31.9629589839009,487202147,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,7,9,11,2,14,8,14,3,15,16,5,1
-8.00512220821923,0.889557463401395,487202149,"Mouse VISp - L4, L5, L6","VIS",1,1,2,1,3,1,7,1,2,9,8,2,10,13,2,4,8,16,14,18,19
-0.604823999713973,-31.689740218073,487202151,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-12.4647917932948,-9.16457208717293,487202153,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,4,2,8,6,7,9,11,2,10,3,2,17,15,16,8,19
-0.328816300954219,-31.5535619216457,487202155,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-13.6457707828714,-10.5509467619248,487202157,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,11,2,13,2,4,8,15,16,8,19
-13.5825438690167,-2.7625970789875,487202159,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,16,14,18,19
-13.7215006780967,-4.5698121592391,487202161,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,15,16,8,19
-0.631647117136269,-31.6569086700956,487202163,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-13.6143196076454,-2.52180571476662,487202171,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,16,14,18,19
-1.2820162067196,-30.8467488361489,487202173,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,11,12,14,8,14,3,15,16,5,1
4.11958247571488,-21.2029046803117,487202175,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,11,2,14,8,14,3,8,10,16,14
-13.3386060705214,-18.4943946732158,487202177,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,10,3,2,17,17,6,7,8
-0.820702690798941,-31.8888922581316,487202179,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-0.484828985258881,-31.4727032116083,487202181,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-0.143875161186395,-31.7062714718325,487202183,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-13.582030200471,-2.25623470160157,487202185,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,1,2,9,8,2,10,13,2,4,8,16,14,8,19
-13.1880503082144,-4.08420035664989,487202187,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,15,14,8,19
-14.4198985491074,-10.4753653573921,487202195,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,7,9,11,2,10,3,2,17,17,6,7,19
0.412590554923468,-30.4947573084075,487202197,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-1.47063773913916,-29.8915495765934,487202199,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,11,12,11,5,1,2,15,16,5,1
